zaxis,yaxis,H,B,C,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,As,Se,Ag,Sb,Ba,Pb,Bi,U,REE
Ag,Ag,0.017857142857142856,0.0,0.0,0.04017857142857143,0.004464285714285714,0.0,0.0,0.0,0.0,0.0,0.7633928571428571,0.04017857142857143,0.004464285714285714,0.0,0.0,0.004464285714285714,0.03571428571428571,0.09821428571428571,0.004464285714285714,0.2857142857142857,0.05357142857142857,0.28125,0.06696428571428571,1.0,0.35267857142857145,0.0,0.36160714285714285,0.17857142857142858,0.0,0.0
Ag,Sb,0.0,0.0,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.33035714285714285,0.004464285714285714,0.0,0.0,0.0,0.0,0.026785714285714284,0.03571428571428571,0.0,0.08928571428571429,0.022321428571428572,0.11607142857142858,0.008928571428571428,0.35267857142857145,0.35267857142857145,0.0,0.19196428571428573,0.044642857142857144,0.0,0.0
Ag,Ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag,Pb,0.013392857142857142,0.0,0.0,0.022321428571428572,0.004464285714285714,0.0,0.0,0.0,0.0,0.0,0.32142857142857145,0.017857142857142856,0.004464285714285714,0.0,0.0,0.0,0.022321428571428572,0.017857142857142856,0.0,0.10714285714285714,0.004464285714285714,0.11607142857142858,0.008928571428571428,0.36160714285714285,0.19196428571428573,0.0,0.36160714285714285,0.12946428571428573,0.0,0.0
Ag,Bi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15178571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428,0.0,0.0625,0.0,0.0,0.013392857142857142,0.17857142857142858,0.044642857142857144,0.0,0.12946428571428573,0.17857142857142858,0.0,0.0
Ag,U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag,REE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sb,H,0.11550151975683891,0.0,0.0,0.11550151975683891,0.00303951367781155,0.02127659574468085,0.0060790273556231,0.0182370820668693,0.00911854103343465,0.0,0.030395136778115502,0.00911854103343465,0.00911854103343465,0.0182370820668693,0.0121580547112462,0.00303951367781155,0.00911854103343465,0.0243161094224924,0.0060790273556231,0.02127659574468085,0.015197568389057751,0.0425531914893617,0.0,0.0,0.11550151975683891,0.0,0.0121580547112462,0.0,0.0,0.0
Sb,B,0.0,0.00911854103343465,0.0,0.00911854103343465,0.0,0.0,0.00911854103343465,0.00303951367781155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00911854103343465,0.0060790273556231,0.0,0.0,0.0,0.0,0.0,0.0,0.00911854103343465,0.0,0.0,0.0,0.0,0.0
Sb,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
